size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2048,0.000388904,0.00057398,0.000118653,0.000557202,0.0006149,0.000589022,8.2519e-05,0.000552919,0.000626059,7.2971e-05,0.000242874,0.000627945,0.000549827,7.6724e-05,4.217e-05,0.000553626,4.2238e-05,3.8759e-05,0.00052367,3.6762e-05,4.1879e-05,7.8575e-05,4.2198e-05,3.7138e-05,0.00010567,4.0404e-05,0.000546961,3.6585e-05,3.7527e-05,0.000521413,4.2334e-05,3.8397e-05,8.0386e-05,4.0396e-05,0.000543934,3.7166e-05,4.0549e-05,0.000537979,4.0993e-05,3.8214e-05,0.000127947,6.7587e-05,7.6166e-05,0.000105553,4.1588e-05,0.000540566,3.7995e-05,3.4396e-05,0.000519387,3.4714e-05,3.6163e-05,4.1425e-05,3.8572e-05,0.000541108,3.7438e-05,3.3302e-05,2.6832e-05,2.3743e-05,2.637e-05,2.4374e-05,2.4702e-05,2.3736e-05,2.6073e-05,2.3748e-05,2.5485e-05,2.3784e-05,2.7584e-05,2.3412e-05,2.8938e-05,2.3895e-05,2.7411e-05,2.4084e-05,2.5226e-05,2.4166e-05,2.4083e-05,2.2933e-05,2.6263e-05,2.3642e-05,2.5934e-05,2.3299e-05,2.6096e-05,2.3482e-05,2.5613e-05,2.2938e-05,2.7768e-05,2.291e-05,2.7268e-05,2.4212e-05,2.6076e-05,2.3643e-05,2.7764e-05,2.3074e-05,2.7112e-05,2.4049e-05,2.5619e-05,2.3361e-05,2.7895e-05,2.3491e-05,2.7397e-05,2.4093e-05
4096,0.0131655,0.000559004,0.000120284,0.000599016,0.000549047,7.4325e-05,0.000231477,0.000600982,0.00055188,8.117e-05,0.000126582,0.000603962,0.000548917,9.0757e-05,4.8999e-05,0.000556969,4.7087e-05,4.3801e-05,0.000519585,4.2781e-05,4.6601e-05,0.000167065,0.000121801,0.000544341,4.5541e-05,4.3375e-05,0.000554681,4.2384e-05,4.496e-05,8.4274e-05,4.7306e-05,4.3756e-05,0.000110147,4.6077e-05,0.000548575,4.2809e-05,4.5304e-05,0.000547397,4.607e-05,4.2766e-05,0.000573919,4.4007e-05,4.7528e-05,0.00016955,4.9593e-05,0.000552289,4.6216e-05,4.2426e-05,0.000546422,3.9591e-05,4.3574e-05,0.000547591,4.198e-05,4.055e-05,8.4371e-05,4.306e-05,4.4292e-05,0.000170098,4.5419e-05,0.000540759,4.2302e-05,3.858e-05,0.000540029,3.8182e-05,4.213e-05,0.000139804,8.9224e-05,0.000541067,4.1766e-05,3.8793e-05,3.8726e-05,0.000127506,7.2519e-05,0.000553466,3.6866e-05,3.5456e-05,0.000510021,3.644e-05,3.4043e-05,2.9703e-05,5.3096e-05,2.9401e-05,3.3256e-05,2.99e-05,3.2044e-05,2.987e-05,3.2727e-05,2.8703e-05,3.2904e-05,2.9111e-05,3.3607e-05,2.8736e-05,3.2445e-05,2.9535e-05,3.1741e-05,2.8835e-05,3.3247e-05,2.9252e-05,3.2037e-05,2.8418e-05
16384,0.0134531,0.000623205,0.000117169,0.000146078,0.000911139,0.000634543,0.000119996,0.000572827,0.00094487,0.000118913,0.000226985,0.000636845,0.000595672,0.000112071,0.000162812,0.00121608,0.000697772,0.000159611,0.000556342,0.000824054,0.000101954,0.000182178,0.000617459,8.3974e-05,6.5396e-05,0.000559496,6.6026e-05,6.4488e-05,0.000578887,6.5421e-05,6.4608e-05,7.0906e-05,6.5038e-05,6.2442e-05,0.000123963,7.0241e-05,0.000572741,6.3245e-05,6.4648e-05,0.000558126,6.4166e-05,6.2706e-05,0.000147779,6.851e-05,0.000558219,6.4954e-05,6.3343e-05,0.000563766,6.324e-05,6.3215e-05,0.000223631,6.8768e-05,6.4304e-05,9.8232e-05,6.9341e-05,0.000562574,6.9254e-05,6.6084e-05,0.000568218,6.4986e-05,6.5772e-05,0.00014271,6.9325e-05,6.7127e-05,0.000144457,7.1322e-05,0.000555841,7.1774e-05,6.7038e-05,0.000561409,6.7744e-05,6.6048e-05,0.000121842,7.1238e-05,6.9657e-05,0.00022812,6.8301e-05,0.000552512,6.4596e-05,6.5854e-05,0.000559896,5.9225e-05,6.0909e-05,0.00056005,5.9667e-05,6.251e-05,0.000135717,6.4946e-05,6.3178e-05,0.000108971,6.436e-05,0.000558158,5.7714e-05,5.7272e-05,0.000560855,5.9846e-05,5.9369e-05,0.000504752,6.0132e-05,6.0244e-05
