size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2048,0.00444614,8.7678e-05,8.1242e-05,0.000543724,6.9367e-05,6.6651e-05,0.000122084,7.5368e-05,8.3831e-05,0.00024624,7.6573e-05,0.000603912,7.113e-05,7.0129e-05,0.000557026,7.3601e-05,7.0549e-05,0.000217875,7.45e-05,8.3523e-05,0.000114328,7.5106e-05,0.000602725,7.4639e-05,7.2618e-05,0.000555255,7.0901e-05,7.0739e-05,0.000151355,7.5946e-05,8.6378e-05,0.00600953,0.00624508,0.00626487,0.00634698,0.00633211,0.00614782,0.00631006,0.00633594,0.00622527,0.00619254,0.00617217,0.00629853,0.00621026,0.00620607,0.0060626,0.00628437,0.00635908,0.0061768,0.00613687,0.00648403,0.00638204,0.00609765,0.00638064,0.0061157,0.00610482,0.000110665,0.000116128,0.000131921,9.8589e-05,0.000673148,0.000100008,9.2569e-05,0.000545737,8.9369e-05,0.000111436,0.000293601,9.497e-05,0.000115956,0.000130831,9.4238e-05,0.000620585,8.8862e-05,8.8214e-05,0.000658604,8.7107e-05,8.7819e-05,0.00025673,0.000146546,0.000112861,0.000161656,9.9689e-05,0.000638045,9.117e-05,0.000112633,0.000635242,9.0078e-05,9.2217e-05,0.000271093,9.4134e-05,0.00011357,0.000213273,9.2559e-05,0.000617608,9.3817e-05,0.000107736,0.000628347,9.3316e-05,9.1433e-05,0.00601309
4096,0.0117593,0.000166035,0.000157917,0.000650762,0.000163566,0.000146053,0.000194123,0.000151596,0.000219916,0.000132337,0.00012676,0.000739282,0.000144302,0.000148194,0.000675032,0.000142443,0.000142768,0.000273675,0.000155355,0.000220806,0.000188805,0.000161577,0.000778903,0.000144922,0.000144731,0.000677578,0.000143978,0.000145123,0.000349889,0.00015576,0.000236691,0.0114468,0.0118434,0.012024,0.0114569,0.0121272,0.0119899,0.0120187,0.0119965,0.0116318,0.0119581,0.0113527,0.0120204,0.0109835,0.000120178,0.000132836,0.000306069,0.000145657,0.00072792,0.000139617,0.00013988,0.000674185,0.000136451,0.000142079,0.000199146,0.000114769,0.00015866,0.000199581,0.000113347,0.000666059,0.000107864,0.000109094,0.000610346,0.000108379,0.000107748,0.000325642,0.000155867,0.000160041,0.000192962,0.000112259,0.000686273,0.000107421,0.000108222,0.0111129,0.0120606,0.0116622,0.0117112,0.0117561,0.0119155,0.0114436,0.0121728,0.0113573,0.0120155,0.0115574,0.0115028,0.0115264,0.00437141,0.00014378,0.000149325,0.000161985,0.000106095,0.000692572,0.000103138,0.000105132,0.000634823,0.000105473,0.000104681,0.000342343,0.000111181,0.000153048
16384,0.0123872,0.00069533,0.000711715,0.00069973,0.000683314,0.000694235,0.000673032,0.000657925,0.000671858,0.000703569,0.000686559,0.00069131,0.000672751,0.000674628,0.000662041,0.000715891,0.000695405,0.000672477,0.000677186,0.000637985,0.000696925,0.000677618,0.000678005,0.000691802,0.000696045,0.000699483,0.000686947,0.000671013,0.000638542,0.000685656,0.000655369,0.000651642,0.000682231,0.000651362,0.000664668,0.000674655,0.000686485,0.000639564,0.000675864,0.000671554,0.000645554,0.000712513,0.000683976,0.000651193,0.000709195,0.000692912,0.00068596,0.000664898,0.000720014,0.000682999,0.000713569,0.000661561,0.000688159,0.000689431,0.000692966,0.000651415,0.000657818,0.000660652,0.000646948,0.000677935,0.00068627,0.000673384,0.000649796,0.000674007,0.000662977,0.000677449,0.000666949,0.000694949,0.000680973,0.000671939,0.000695944,0.000684049,0.000688881,0.000682272,0.000697083,0.000655693,0.000686495,0.000685206,0.000685085,0.000671707,0.00070276,0.000704955,0.000681428,0.000718697,0.000700859,0.000667962,0.000694279,0.000658699,0.00068122,0.000692765,0.000679382,0.00067678,0.000680837,0.000693259,0.000680444,0.000644311,0.00072473,0.000647701,0.000679975,0.000685129
